Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3
Zambia,1992,46.987,8,5.20,1310.00,0.42,0.41,0.39,,0.40,0.40
Zambia,2003,46.322,10.5,6.10,1840.00,0.40,0.52,0.44,,0.45,0.46
Zambia,1993,45.919,8.2,5.50,1430.00,0.40,0.43,0.40,,0.41,0.41
Zambia,2002,45.400,10.2,6.10,1720.00,0.39,0.51,0.43,,0.44,0.45
Zambia,1994,44.983,8.4,5.80,1330.00,0.38,0.44,0.39,,0.40,0.41
Zambia,2001,44.615,10,6.00,1660.00,0.38,0.50,0.42,,0.43,0.44
Zambia,2000,44.440,9.8,5.90,1570.00,0.38,0.49,0.42,,0.42,0.43
Zambia,1995,44.242,8.7,6.00,1360.00,0.37,0.46,0.39,,0.41,0.41
Zambia,1996,43.735,8.9,6.00,1440.00,0.37,0.46,0.40,,0.41,0.42
Zambia,1999,43.594,9.6,5.90,1510.00,0.36,0.48,0.41,,0.42,0.43
Zambia,1997,43.461,9.1,6.00,1480.00,0.36,0.47,0.41,,0.41,0.42
Zambia,1998,43.413,9.3,5.90,1440.00,0.36,0.47,0.40,,0.41,0.42
Yemen,2018,66.10,8.66,3.20,1433.30,0.71,0.38,0.40,0.46,0.48,0.46
Yemen,2016,66.087,9,3.00,,0.71,0.38,,0.48,,0.46
Yemen,2017,66.086,9,3.00,,0.71,0.38,,0.46,,0.45
Yemen,2015,66.085,9,3.00,,0.71,0.38,,0.49,,0.48
Yemen,2014,66.066,9,3.00,,0.71,0.38,,,,0.51
Yemen,2013,66.016,9,3.00,,0.71,0.38,,0.51,,0.51
Yemen,2012,65.92,9,3.00,,0.71,0.38,,,,0.51
Yemen,2011,65.768,9,2.80,,0.70,0.38,,,,0.50
Yemen,2010,65.549,8.6,2.60,,0.70,0.36,,0.50,,0.50
Yemen,2009,65.255,8.5,2.50,,0.70,0.35,,,,0.49
Yemen,2008,64.892,8.4,2.30,,0.69,0.34,,,,0.49
Yemen,2007,64.47,8.5,2.20,,0.68,0.34,,,,0.48
Yemen,2006,63.997,8.6,2.00,,0.68,0.34,,,,0.48
Yemen,2005,63.481,8.7,1.90,,0.67,0.34,,,,0.47
Yemen,2004,62.931,8.6,1.70,,0.66,0.33,,,,0.47
Yemen,2003,62.358,8.4,1.60,,0.65,0.32,,,,0.46
Yemen,2002,61.781,8.2,1.50,,0.64,0.32,,,,0.46
Yemen,2001,61.216,8,1.30,,0.63,0.30,,,,0.45
Yemen,2000,60.683,7.9,1.20,,0.63,0.30,,,,0.44
Yemen,1999,60.204,7.7,1.10,,0.62,0.29,,,,0.43
Yemen,1998,59.782,7.6,1.00,,0.61,0.28,,,,0.43
Yemen,1997,59.415,7.6,0.90,,0.61,0.28,,,,0.43
Yemen,1996,59.096,7.6,0.80,,0.60,0.28,,,,0.42
Yemen,1995,58.817,7.6,0.70,,0.60,0.27,,,,0.42
Yemen,1994,58.566,7.6,0.60,,0.59,0.27,,,,0.41
Yemen,1993,58.318,7.6,0.50,,0.59,0.27,,,,0.41
Yemen,1992,58.047,7.6,0.40,,0.59,0.26,,,,0.41
Yemen,1991,57.730,7.5,0.40,,0.58,0.26,,,,0.40
Yemen,1990,57.346,7.5,0.29,,0.57,0.26,,,,0.40
Vietnam,2018,75.32,12.69,8.20,6220.27,0.85,0.65,0.62,0.69,0.70,0.69
Vietnam,2017,75.241,12.7,8.20,6620.00,0.85,0.65,0.63,0.69,0.71,0.69
Vietnam,2016,75.172,12.7,8.10,6300.00,0.85,0.65,0.63,0.68,0.70,0.69
Vietnam,2015,75.11,12.7,8.00,5790.00,0.85,0.65,0.61,0.68,0.69,0.68
Vietnam,2014,75.056,12.7,7.80,5470.00,0.85,0.64,0.60,,0.69,0.68
Vietnam,2013,75.006,12.6,7.90,5130.00,0.85,0.64,0.59,0.67,0.69,0.68
Vietnam,2012,74.958,12.6,7.80,4840.00,0.85,0.64,0.59,,0.68,0.67
Vietnam,2011,74.904,12.5,7.60,4330.00,0.84,0.63,0.57,,0.67,0.66
Vietnam,2010,74.837,12,7.50,4050.00,0.84,0.61,0.56,0.65,0.66,0.65
Vietnam,2009,74.745,11.9,8.00,3450.00,0.84,0.62,0.53,,0.65,0.66
Vietnam,2008,74.625,11.7,7.00,3650.00,0.84,0.58,0.54,,0.64,0.64
Vietnam,2007,74.474,11.6,6.80,3420.00,0.84,0.58,0.53,,0.64,0.63
Vietnam,2006,74.295,11.4,6.60,3160.00,0.84,0.56,0.52,,0.63,0.62
Vietnam,2005,74.092,11.3,6.40,2910.00,0.83,0.55,0.51,,0.62,0.62
Vietnam,2004,73.875,11.1,6.20,2880.00,0.83,0.54,0.51,,0.61,0.61
Vietnam,2003,73.654,11,6.00,2620.00,0.83,0.53,0.49,,0.60,0.60
Vietnam,2002,73.438,10.9,5.80,2430.00,0.82,0.52,0.48,,0.59,0.60
Vietnam,2001,73.228,10.7,5.60,2280.00,0.82,0.51,0.47,,0.58,0.59
Vietnam,2000,73.025,10.6,5.40,2120.00,0.82,0.50,0.46,,0.57,0.58
Vietnam,1999,72.824,10.4,5.30,1820.00,0.81,0.49,0.44,,0.56,0.57
Vietnam,1998,72.617,10.3,5.10,1720.00,0.81,0.49,0.43,,0.55,0.56
Vietnam,1997,72.399,9,4.90,1630.00,0.81,0.44,0.42,,0.53,0.54
Vietnam,1996,72.168,9.6,4.80,1500.00,0.80,0.45,0.41,,0.53,0.54
Vietnam,1995,71.923,9.3,4.60,1380.00,0.80,0.44,0.40,,0.52,0.53
Vietnam,1994,71.666,9,4.50,1240.00,0.79,0.43,0.38,,0.50,0.52
Vietnam,1993,71.399,8.7,4.30,1120.00,0.79,0.41,0.36,,0.49,0.51
Vietnam,1992,71.124,8.4,4.20,1030.00,0.79,0.40,0.35,,0.48,0.50
Vietnam,1991,70.842,8.1,4.10,930.00,0.78,0.38,0.34,,0.47,0.48
Vietnam,1990,70.551,7.8,3.94,860.00,0.78,0.37,0.33,,0.45,0.48
Venezuela,2010,73.134,14.1,8.90,16530.00,0.82,0.72,0.77,0.75,0.77,0.76
Venezuela,2009,73.116,14,8.30,16900.00,0.82,0.70,0.77,,0.76,0.75
Venezuela,2011,73.11,14.1,9.80,17080.00,0.82,0.74,0.78,,0.78,0.77
Venezuela,2008,73.071,14,8.20,17760.00,0.82,0.69,0.78,,0.76,0.75
Venezuela,2012,73.037,14.2,9.70,,0.82,0.74,,,,0.77
Venezuela,2007,73.01,13.4,8.10,16930.00,0.82,0.67,0.78,,0.75,0.74
Venezuela,2006,72.938,12.9,7.60,15140.00,0.81,0.64,0.76,,0.73,0.73
Venezuela,2013,72.918,14.2,9.90,,0.81,0.75,,0.77,,0.78
Venezuela,2005,72.852,12.4,7.40,13450.00,0.81,0.62,0.74,,0.72,0.71
Venezuela,2014,72.762,14.3,10.00,,0.81,0.75,,,,0.78
Venezuela,2004,72.746,11.8,7.20,11830.00,0.81,0.59,0.72,,0.70,0.70
Venezuela,2003,72.618,11.6,7.00,9960.00,0.81,0.58,0.70,,0.69,0.69
Venezuela,2015,72.584,14.3,10.10,,0.81,0.76,,0.76,,0.78
Venezuela,2002,72.466,11.6,6.80,10750.00,0.81,0.58,0.71,,0.69,0.69
Venezuela,2016,72.405,14.3,10.10,,0.81,0.76,,0.75,,0.77
Venezuela,2001,72.294,11,6.40,11980.00,0.80,0.54,0.72,,0.68,0.68
Venezuela,2017,72.246,14.3,10.30,,0.80,0.76,,0.73,,0.76
Venezuela,2018,72.13,12.82,10.32,9069.70,0.80,0.71,0.68,0.73,0.73,0.73
Venezuela,2000,72.112,10.4,6.40,11610.00,0.80,0.52,0.72,,0.67,0.67
Venezuela,1999,71.930,10.6,6.20,11130.00,0.80,0.53,0.71,,0.67,0.67
Venezuela,1998,71.756,10.5,6.00,11740.00,0.80,0.52,0.72,,0.67,0.67
Venezuela,1997,71.596,10.6,5.80,11790.00,0.79,0.51,0.72,,0.67,0.66
Venezuela,1996,71.451,10.6,5.70,11160.00,0.79,0.51,0.71,,0.66,0.66
Venezuela,1995,71.321,10.7,5.50,11200.00,0.79,0.51,0.71,,0.66,0.66
Venezuela,1994,71.200,10.7,5.30,10700.00,0.79,0.50,0.71,,0.65,0.65
Venezuela,1993,71.079,10.8,5.10,11010.00,0.79,0.50,0.71,,0.65,0.65
Venezuela,1992,70.951,10.8,5.00,10960.00,0.78,0.50,0.71,,0.65,0.65
Venezuela,1991,70.811,10.7,4.80,10520.00,0.78,0.49,0.70,,0.65,0.64
Venezuela,1990,70.658,10.5,4.59,9450.00,0.78,0.48,0.69,,0.63,0.63
Vanuatu,2018,70.32,11.42,6.84,2807.86,0.77,0.57,0.50,0.60,0.61,0.60
Vanuatu,2017,70.172,10.9,6.80,3090.00,0.77,0.55,0.52,0.60,0.60,0.60
Vanuatu,2016,70.021,10.9,6.80,3000.00,0.77,0.55,0.51,0.59,0.60,0.60
Vanuatu,2015,69.869,10.9,6.80,2960.00,0.77,0.55,0.51,0.59,0.60,0.60
Vanuatu,2014,69.719,10.9,6.80,3020.00,0.76,0.55,0.51,,0.60,0.60
Vanuatu,2013,69.57,10.9,6.80,2940.00,0.76,0.55,0.51,0.59,0.60,0.60
Vanuatu,2012,69.421,10.9,6.80,2750.00,0.76,0.55,0.50,,0.59,0.59
Vanuatu,2011,69.272,10.8,6.70,2820.00,0.76,0.55,0.50,,0.59,0.59
Vanuatu,2010,69.123,10.8,6.70,2790.00,0.76,0.55,0.50,0.58,0.59,0.59
Vanuatu,2009,68.974,10.8,6.60,2790.00,0.75,0.54,0.50,,0.59,0.59
Vanuatu,2008,68.824,10.7,6.60,2840.00,0.75,0.54,0.51,,0.59,0.59
Vanuatu,2007,68.672,10.7,6.60,2540.00,0.75,0.54,0.49,,0.58,0.58
Vanuatu,2006,68.515,10.7,6.50,2420.00,0.75,0.54,0.48,,0.58,0.58
Vanuatu,2005,68.35,10.6,6.50,2170.00,0.74,0.53,0.46,,0.57,0.57
Vanuatu,2004,68.176,10.6,,2080.00,0.74,0.85,0.46,,0.66,
Vanuatu,2003,67.99,10.7,,2010.00,0.74,0.86,0.45,,0.66,
Vanuatu,2002,67.793,10.4,,1950.00,0.74,0.85,0.45,,0.65,
Vanuatu,2001,67.583,10.2,,2130.00,0.73,0.84,0.46,,0.66,
Vanuatu,2000,67.363,10.1,,2140.00,0.73,0.84,0.46,,0.66,
Vanuatu,1999,67.134,9.6,,2080.00,0.73,0.82,0.46,,0.65,
Vanuatu,1998,66.899,,,2050.00,0.72,,0.46,,,
Vanuatu,1997,66.660,,,1820.00,0.72,,0.44,,,
Vanuatu,1996,66.414,,,1760.00,0.71,,0.43,,,
Vanuatu,1995,66.162,,,1770.00,0.71,,0.43,,,
Vanuatu,1994,65.903,,,1650.00,0.71,,0.42,,,
Vanuatu,1993,65.633,,,1690.00,0.70,,0.43,,,
Vanuatu,1992,65.349,,,1560.00,0.70,,0.41,,,
Vanuatu,1991,65.047,,,1570.00,0.69,,0.42,,,
Vanuatu,1990,64.721,,,1700.00,0.69,,0.43,,,
Uzbekistan,2018,71.57,12.01,11.52,6461.84,0.79,0.72,0.63,0.71,0.71,0.71
Uzbekistan,2017,71.388,12,11.50,6650.00,0.79,0.72,0.63,0.71,0.71,0.71
Uzbekistan,2016,71.171,11.8,11.40,6530.00,0.79,0.71,0.63,0.70,0.71,0.70
Uzbekistan,2015,70.928,11.7,11.40,6460.00,0.78,0.71,0.63,0.70,0.70,0.70
Uzbekistan,2014,70.671,11.7,11.30,6390.00,0.78,0.70,0.63,,0.70,0.70
Uzbekistan,2013,70.41,11.6,11.30,5970.00,0.78,0.70,0.62,0.69,0.69,0.69
Uzbekistan,2012,70.155,11.6,11.10,5730.00,0.77,0.70,0.61,,0.69,0.68
Uzbekistan,2011,69.91,11.4,10.90,5510.00,0.77,0.68,0.61,,0.68,0.67
Uzbekistan,2010,69.672,11.4,10.70,5140.00,0.76,0.68,0.60,0.67,0.68,0.67
Uzbekistan,2009,69.435,11.4,10.50,4970.00,0.76,0.67,0.59,,0.67,0.66
Uzbekistan,2008,69.193,11.3,10.30,4790.00,0.76,0.66,0.58,,0.66,0.65
Uzbekistan,2007,68.939,11.5,10.10,4310.00,0.75,0.66,0.57,,0.66,0.65
Uzbekistan,2006,68.676,11.4,9.90,3710.00,0.75,0.66,0.55,,0.64,0.63
Uzbekistan,2005,68.407,11.5,9.80,3410.00,0.74,0.66,0.53,,0.64,0.63
Uzbekistan,2004,68.135,11.4,9.70,3120.00,0.74,0.65,0.52,,0.63,0.62
Uzbekistan,2003,67.868,11.4,9.50,2840.00,0.74,0.64,0.51,,0.62,0.61
Uzbekistan,2002,67.613,11.3,9.40,2690.00,0.73,0.64,0.50,,0.61,0.61
Uzbekistan,2001,67.374,11,9.20,2570.00,0.73,0.62,0.49,,0.61,0.60
Uzbekistan,2000,67.156,10.7,9.10,2450.00,0.73,0.61,0.48,,0.60,0.60
Uzbekistan,1999,66.959,10.6,,2360.00,0.72,0.85,0.48,,0.67,
Uzbekistan,1998,66.782,10.6,,2260.00,0.72,0.85,0.47,,0.66,
Uzbekistan,1997,66.626,10.7,,2170.00,0.72,0.86,0.46,,0.66,
Uzbekistan,1996,66.494,10.7,,2080.00,0.72,0.86,0.46,,0.65,
Uzbekistan,1990,66.481,11.3,,,0.72,0.88,,,,
Uzbekistan,1991,66.424,11.1,,,0.71,0.87,,,,
Uzbekistan,1995,66.396,10.7,,2050.00,0.71,0.86,0.46,,0.65,
Uzbekistan,1992,66.368,10.8,,2220.00,0.71,0.86,0.47,,0.66,
Uzbekistan,1994,66.343,10.8,,2060.00,0.71,0.86,0.46,,0.65,
Uzbekistan,1993,66.336,10.8,,2170.00,0.71,0.86,0.46,,0.66,
Uruguay,2018,77.77,16.34,8.73,19434.85,0.89,0.79,0.80,0.81,0.82,0.81
Uruguay,2017,77.632,15.9,8.70,20060.00,0.89,0.77,0.80,0.81,0.82,0.80
Uruguay,2016,77.498,15.9,8.70,19650.00,0.88,0.77,0.80,0.81,0.82,0.80
Uruguay,2015,77.369,15.9,8.70,19310.00,0.88,0.77,0.80,0.80,0.82,0.80
Uruguay,2014,77.244,16.1,8.60,18820.00,0.88,0.78,0.79,,0.81,0.80
Uruguay,2013,77.124,16.1,8.50,18110.00,0.88,0.77,0.79,0.80,0.81,0.80
Uruguay,2012,77.004,15.6,8.50,16880.00,0.88,0.76,0.77,,0.80,0.79
Uruguay,2011,76.882,15.2,8.40,17390.00,0.88,0.74,0.78,,0.80,0.78
Uruguay,2010,76.75,14.7,8.40,16190.00,0.87,0.72,0.77,0.77,0.79,0.77
Uruguay,2009,76.603,15.6,8.40,14960.00,0.87,0.75,0.76,,0.79,0.78
Uruguay,2008,76.437,14.7,8.40,14320.00,0.87,0.72,0.75,,0.78,0.77
Uruguay,2007,76.251,14.9,8.20,13250.00,0.87,0.72,0.74,,0.77,0.76
Uruguay,2006,76.046,15.3,8.00,12130.00,0.86,0.73,0.72,,0.77,0.76
Uruguay,2005,75.826,15.2,8.00,11250.00,0.86,0.73,0.71,,0.76,0.76
Uruguay,2004,75.599,15.5,8.00,10000.00,0.86,0.74,0.70,,0.76,0.75
Uruguay,2003,75.373,15.5,8.00,9290.00,0.85,0.74,0.68,,0.76,0.75
Uruguay,2002,75.152,15.1,8.00,9480.00,0.85,0.73,0.69,,0.75,0.75
Uruguay,2001,74.939,14.7,8.00,10030.00,0.85,0.71,0.70,,0.75,0.75
Uruguay,2000,74.731,14.2,8.00,10230.00,0.84,0.70,0.70,,0.74,0.74
Uruguay,1999,74.523,13.9,7.90,10250.00,0.84,0.68,0.70,,0.74,0.74
Uruguay,1998,74.309,13.9,7.70,10290.00,0.84,0.68,0.70,,0.73,0.74
Uruguay,1997,74.086,13.5,7.60,9800.00,0.83,0.66,0.69,,0.72,0.73
Uruguay,1996,73.854,13.2,7.50,8310.00,0.83,0.65,0.67,,0.71,0.72
Uruguay,1995,73.620,13.1,7.40,7770.00,0.82,0.64,0.66,,0.70,0.71
Uruguay,1994,73.388,13,7.30,7760.00,0.82,0.64,0.66,,0.70,0.71
Uruguay,1993,73.166,12.9,7.30,7150.00,0.82,0.63,0.64,,0.69,0.70
Uruguay,1992,72.955,12.8,7.20,6840.00,0.81,0.63,0.64,,0.69,0.70
Uruguay,1991,72.757,13,7.20,6210.00,0.81,0.63,0.62,,0.68,0.70
Uruguay,1990,72.569,12.9,7.13,5760.00,0.81,0.63,0.61,,0.68,0.69
United States,2014,78.922,16.4,13.30,56730.00,0.91,0.92,0.96,,0.93,0.92
United States,2015,78.91,16.5,13.30,58340.00,0.91,0.92,0.96,0.92,0.93,0.92
United States,2013,78.909,16.4,13.20,54360.00,0.91,0.91,0.95,0.91,0.92,0.92
United States,2016,78.885,16.5,13.40,58970.00,0.91,0.92,0.96,0.92,0.93,0.92
United States,2012,78.862,16.6,13.30,53120.00,0.91,0.92,0.95,,0.93,0.92
United States,2017,78.861,16.5,13.40,61020.00,0.91,0.92,0.97,0.92,0.93,0.92
United States,2018,78.85,16.27,13.41,56140.23,0.91,0.92,0.96,0.92,0.93,0.92
United States,2011,78.777,16.7,13.30,50820.00,0.90,0.93,0.94,,0.92,0.92
United States,2010,78.652,16.6,13.20,48900.00,0.90,0.92,0.94,0.91,0.92,0.91
United States,2009,78.49,16.4,13.20,46940.00,0.90,0.91,0.93,,0.91,0.91
United States,2008,78.303,16.3,13.20,48290.00,0.90,0.91,0.93,,0.91,0.91
United States,2007,78.101,16.2,12.90,48280.00,0.89,0.90,0.93,,0.91,0.91
United States,2006,77.892,16.1,12.80,47160.00,0.89,0.89,0.93,,0.90,0.90
United States,2005,77.685,16,12.80,44570.00,0.89,0.89,0.92,,0.90,0.90
United States,2004,77.486,15.9,12.80,42060.00,0.88,0.89,0.91,,0.89,0.90
United States,2003,77.299,15.9,12.80,39740.00,0.88,0.89,0.90,,0.89,0.89
United States,2002,77.124,15.7,12.70,38430.00,0.88,0.88,0.90,,0.88,0.89
United States,2001,76.962,15.6,12.70,37700.00,0.88,0.87,0.90,,0.88,0.89
United States,2000,76.812,15.5,12.70,36800.00,0.87,0.87,0.89,,0.88,0.89
United States,1999,76.668,15.8,12.70,34720.00,0.87,0.88,0.88,,0.88,0.89
United States,1998,76.524,15.9,12.70,33120.00,0.87,0.88,0.88,,0.88,0.88
United States,1997,76.376,15.8,12.70,31500.00,0.87,0.88,0.87,,0.87,0.88
United States,1996,76.222,15.8,12.70,29870.00,0.86,0.88,0.86,,0.87,0.88
United States,1995,76.062,15.9,12.70,28450.00,0.86,0.88,0.85,,0.87,0.88
United States,1994,75.896,15.9,12.70,27250.00,0.86,0.88,0.85,,0.86,0.88
United States,1993,75.728,15.8,12.60,25910.00,0.86,0.88,0.84,,0.86,0.87
United States,1992,75.562,15.6,12.50,25090.00,0.85,0.87,0.83,,0.85,0.87
United States,1991,75.400,15.3,12.40,24100.00,0.85,0.85,0.83,,0.85,0.86
United States,1990,75.246,15.3,12.32,23640.00,0.85,0.85,0.83,,0.84,0.86
United Kingdom,2018,81.24,17.44,12.95,39507.29,0.94,0.94,0.90,0.92,0.93,0.92
United Kingdom,2017,81.168,17.4,12.90,45430.00,0.94,0.94,0.92,0.92,0.93,0.92
United Kingdom,2016,81.111,17.4,12.90,43100.00,0.94,0.94,0.92,0.92,0.93,0.92
United Kingdom,2015,81.052,17.4,12.80,41550.00,0.94,0.94,0.91,0.92,0.93,0.92
United Kingdom,2014,80.978,17.9,12.70,40420.00,0.94,0.95,0.91,,0.93,0.92
United Kingdom,2013,80.876,17.7,12.60,39160.00,0.94,0.94,0.90,0.91,0.93,0.92
United Kingdom,2012,80.739,15.7,12.90,37910.00,0.93,0.88,0.90,,0.90,0.90
United Kingdom,2011,80.564,15.8,13.00,37310.00,0.93,0.89,0.89,,0.90,0.90
United Kingdom,2010,80.352,16.4,13.20,36390.00,0.93,0.91,0.89,0.91,0.91,0.91
United Kingdom,2009,80.11,16.1,13.10,34770.00,0.92,0.90,0.88,,0.90,0.90
United Kingdom,2008,79.85,16,12.80,36320.00,0.92,0.89,0.89,,0.90,0.90
United Kingdom,2007,79.584,15.9,12.60,35430.00,0.92,0.88,0.89,,0.89,0.89
United Kingdom,2006,79.316,16.1,12.40,34800.00,0.91,0.88,0.88,,0.89,0.89
United Kingdom,2005,79.052,16.6,12.20,33110.00,0.91,0.89,0.88,,0.89,0.89
United Kingdom,2004,78.79,16.5,12.10,32300.00,0.90,0.89,0.87,,0.89,0.89
United Kingdom,2003,78.529,16.1,12.00,30650.00,0.90,0.87,0.86,,0.88,0.88
United Kingdom,2002,78.268,16.1,11.90,29440.00,0.90,0.87,0.86,,0.87,0.87
United Kingdom,2001,78.011,16.1,11.80,27960.00,0.89,0.86,0.85,,0.87,0.87
United Kingdom,2000,77.761,16.1,11.70,26510.00,0.89,0.86,0.84,,0.86,0.87
United Kingdom,1999,77.522,15.9,11.60,24330.00,0.88,0.85,0.83,,0.86,0.86
United Kingdom,1998,77.298,15.5,11.50,23740.00,0.88,0.84,0.83,,0.85,0.86
United Kingdom,1997,77.086,15.3,11.50,22660.00,0.88,0.83,0.82,,0.84,0.85
United Kingdom,1996,76.886,15.1,11.40,21160.00,0.88,0.82,0.81,,0.83,0.84
United Kingdom,1995,76.694,14.9,11.40,19910.00,0.87,0.81,0.80,,0.83,0.84
United Kingdom,1994,76.504,14.7,10.70,20430.00,0.87,0.79,0.80,,0.82,0.83
United Kingdom,1993,76.311,14.5,10.00,18980.00,0.87,0.76,0.79,,0.81,0.81
United Kingdom,1992,76.111,14.3,9.30,18140.00,0.86,0.74,0.79,,0.79,0.80
United Kingdom,1991,75.903,13.9,8.60,17520.00,0.86,0.70,0.78,,0.78,0.79
United Kingdom,1990,75.689,13.7,8.88,17140.00,0.86,0.70,0.78,,0.78,0.78
United Arab Emirates,2018,77.81,13.64,10.95,66911.66,0.89,0.76,0.98,0.87,0.87,0.87
United Arab Emirates,2017,77.647,13.6,10.80,66290.00,0.89,0.75,0.98,0.86,0.87,0.86
United Arab Emirates,2016,77.47,13.6,10.80,63670.00,0.88,0.75,0.98,0.86,0.87,0.86
United Arab Emirates,2015,77.285,13.8,10.60,64640.00,0.88,0.75,0.98,0.86,0.87,0.86
United Arab Emirates,2014,77.095,13.8,10.50,73650.00,0.88,0.75,1.00,,0.87,0.86
United Arab Emirates,2013,76.903,13.8,10.30,69870.00,0.88,0.75,0.99,0.84,0.86,0.85
United Arab Emirates,2012,76.711,13.6,10.20,68670.00,0.87,0.74,0.99,,0.86,0.85
United Arab Emirates,2011,76.521,13.5,10.00,67710.00,0.87,0.73,0.98,,0.85,0.84
United Arab Emirates,2010,76.332,13.4,9.90,64860.00,0.87,0.72,0.98,0.82,0.85,0.84
United Arab Emirates,2009,76.145,13.3,9.70,68870.00,0.86,0.71,0.99,,0.85,0.84
United Arab Emirates,2008,75.957,13.2,9.60,80690.00,0.86,0.71,1.01,,0.85,0.84
